,usable_area,land_area,bedroom,bathroom,price,land_price,Giaytohople,Hopdongmuaban,Khongxacdinh,Sodo,Sohong
10446,220.0,220.0,5.0,5.0,57000.0,25641000.0,0,0,0,0,1
10447,76.0,76.0,2.0,2.0,1270.0,2131200.0,0,0,0,0,1
10448,56.0,56.0,3.0,3.0,1470.0,2752800.0,0,0,0,0,1
10449,77.0,77.0,2.0,2.0,2070.0,5283600.0,0,0,0,0,1
10450,72.0,72.0,2.0,2.0,1203.0,23117600.0,0,0,0,0,1
10451,95.0,95.0,3.0,2.0,2070.0,2641800.0,0,0,0,0,1
10452,87.0,87.0,3.0,2.0,1850.0,5550000.0,0,0,0,0,1
10453,48.0,48.0,3.0,2.0,1980.0,2486400.0,0,0,0,0,1
10454,75.0,75.0,2.0,2.0,1250.0,3374400.0,0,0,0,0,1
10455,1500.0,240.0,10.0,10.0,87000.0,7992000.0,0,0,0,0,1
10456,1.0,1.0,3.0,2.0,1470.0,5490800.0,0,0,0,0,1
10457,74.0,74.0,2.0,2.0,1790.0,8524800.0,0,0,0,0,1
10458,45.5,45.5,4.0,3.0,2093.0,4262400.0,0,0,0,0,1
10459,430.0,430.0,5.0,4.0,24999.0,3330000.0,0,0,0,0,1
10460,84.0,42.0,2.0,2.0,1483.0,8580300.0,0,0,0,0,1
10461,62.0,62.0,2.0,2.0,1330.0,4617600.0,0,0,0,0,1
10462,74.0,74.0,2.0,2.0,1805.0,25396800.0,0,0,0,0,1
10463,72.0,72.0,8.0,4.0,12400.0,14208000.0,0,0,0,0,1
10464,94.5,94.5,2.0,2.0,2360.0,9190800.0,0,0,0,0,1
10465,75.0,75.0,2.0,2.0,1250.0,2353200.0,0,0,0,0,1
10466,300.0,300.0,1.0,1.0,78000.0,20601600.0,0,0,0,0,1
10467,1.0,1.0,2.0,2.0,2100.0,9634800.0,0,0,0,0,1
10468,72.0,72.0,3.0,3.0,3190.0,10774400.0,0,0,0,0,1
10469,46.0,46.0,2.0,1.0,660.0,21611791.666666668,0,0,0,1,0
10470,47.0,47.0,4.0,2.0,9800.0,17825166.666666668,0,0,0,1,0
10471,60.0,60.0,2.0,2.0,2690.0,3552000.0,0,0,0,0,1
10472,1.0,1.0,2.0,2.0,1570.0,2264400.0,0,0,0,0,1
10473,60.0,60.0,2.0,2.0,1420.0,5128200.0,1,0,0,0,0
10474,1.0,1.0,2.0,2.0,2129.0,17493600.0,0,0,0,0,1
10475,106.0,37.0,4.0,3.0,7200.0,10966800.0,0,0,0,0,1
10476,72.0,72.0,2.0,2.0,1250.0,28682400.0,0,0,0,0,1
10477,71.0,71.0,2.0,2.0,1790.0,8524800.0,0,0,0,0,1
10478,98.0,98.0,9.0,15.0,25000.0,12628583.333333334,0,0,0,1,0
10479,81.0,81.0,2.0,2.0,1975.0,12372800.0,0,0,0,0,1
10480,88.0,88.0,4.0,4.0,7500.0,1065600.0,0,0,0,0,1
10481,50.0,50.0,2.0,2.0,1870.0,5034960.0,0,0,0,0,1
10482,1.0,1.0,2.0,2.0,1360.0,5372400.0,0,0,0,0,1
10483,70.0,70.0,2.0,2.0,1630.0,4262400.0,0,0,0,0,1
10484,50.5,50.5,2.0,2.0,1360.0,3108000.0,0,0,0,0,1
10485,49.0,49.0,2.0,1.0,2400.0,12658833.333333334,0,0,0,0,1
10486,60.0,60.0,4.0,4.0,2075.0,2353200.0,0,0,0,0,1
10487,54.0,54.0,3.0,2.0,1970.0,3836160.0,0,0,0,0,1
10488,64.0,64.0,3.0,2.0,1200.0,18736800.0,0,0,0,0,1
10489,56.0,56.0,4.0,5.0,2690.0,7133600.0,0,0,0,0,1
10490,60.0,60.0,2.0,2.0,1470.0,28682400.0,0,0,0,0,1
10491,90.0,90.0,3.0,3.0,2115.0,7947600.0,0,0,0,0,1
10492,750.0,247.0,6.0,6.0,30800.0,11033400.0,0,0,0,0,1
10493,1.0,1.0,2.0,1.0,2349.0,488400.0,0,0,1,0,0
10494,1.0,1.0,2.0,2.0,1800.0,3907200.0,0,0,0,0,1
10495,80.0,80.0,4.0,4.0,50000.0,34188000.0,0,0,0,0,1
10496,63.0,63.0,2.0,2.0,1140.0,3507600.0,0,0,0,0,1
10497,62.0,62.0,4.0,4.0,2340.0,5194800.0,0,0,0,0,1
10498,71.0,71.0,3.0,2.0,1742.0,7681200.0,0,0,0,0,1
10499,71.0,71.0,2.0,2.0,1650.0,2131200.0,0,0,0,0,1
10500,68.0,68.0,2.0,2.0,1720.0,1642800.0,0,0,0,0,1
10501,58.5,58.5,2.0,2.0,1880.0,5461200.0,0,0,0,0,1
10502,86.0,86.0,2.0,2.0,1815.0,3330000.0,0,0,0,0,1
10503,86.0,86.0,2.0,2.0,2195.0,4884000.0,0,0,0,0,1
10504,1800.0,522.0,6.0,6.0,75000.0,4084800.0,0,0,1,0,0
10505,1.0,1.0,2.0,2.0,1760.0,15273600.0,1,0,0,0,0
10506,61.0,61.0,2.0,2.0,1540.0,11033400.0,0,0,0,0,1
10507,56.0,56.0,2.0,2.0,1820.0,5461200.0,0,0,0,0,1
10508,112.0,112.0,3.0,2.0,5000.0,3330000.0,0,0,0,0,1
10509,170.1,56.7,4.0,3.0,2213.0,2220000.0,0,0,0,0,1
10510,50.0,50.0,2.0,2.0,1730.0,9442400.0,0,0,0,0,1
10511,53.7,53.7,2.0,1.0,1575.0,17582400.0,0,0,0,0,1
10512,64.0,64.0,3.0,2.0,6390.0,17005200.0,0,0,0,0,1
10513,70.0,70.0,2.0,2.0,2320.0,8095600.0,1,0,0,0,0
10514,83.0,83.0,2.0,2.0,1860.0,9812400.0,0,0,0,0,1
10515,262.0,262.0,1.0,1.0,33000.0,19536000.0,0,0,0,0,1
10516,1.0,1.0,3.0,3.0,2100.0,11033400.0,0,1,0,0,0
10517,60.0,60.0,2.0,2.0,2160.0,4129200.0,0,0,0,0,1
